列車番号,101,TY1,103,105,109,111,1011,TY3,1015,219,TY5,KU21,KU23,KU25,121,1021,227,129,1031,235,137,139,143,145,1047,149,51,153,155,157,1057,59,1059
荻生,6:18, ,7:13,7:32,8:11,9:03, , , ,10:01, ,レ,レ,レ,10:52, ,12:02,12:45, ,14:05,14:50,15:50,16:43,17:53, ,18:43, ,19:50,20:45,21:43, , , 
長屋,6:19, ,7:14,7:33,8:12,9:04, , , ,10:02, ,レ,レ,レ,10:53, ,12:03,12:46, ,14:06,14:51,15:51,16:44,17:54, ,18:44, ,19:51,20:46,21:44, , , 
新黒部,6:21, ,7:16,7:35,8:14,9:06, , , ,10:04, ,11:52,13:55,17:05,10:55, ,12:05,12:48, ,14:08,14:53,15:53,16:46,17:56, ,18:46, ,19:53,20:48,21:46, , , 
舌山,6:23, ,7:18,7:37,8:16,9:08, , , ,10:06, ,レ,レ,レ,10:57, ,12:07,12:50, ,14:10,14:55,15:55,16:48,18:01, ,18:48, ,19:55,20:56,21:48, , , 
若栗,6:24, ,7:19,7:38,8:17,9:09, , , ,10:07, ,レ,レ,レ,10:58, ,12:08,12:51, ,14:11,14:56,15:56,16:49,18:02, ,18:49, ,19:56,20:57,21:49, , , 
栃屋,6:26, ,7:21,7:40,8:19,9:11, , , ,10:09, ,レ,レ,レ,11:00, ,12:10,12:53, ,14:13,14:58,15:58,16:51,18:04, ,18:51, ,19:58,20:59,21:51, , , 
浦山,6:30, ,7:31,7:44,8:24,9:15, , , ,10:13, ,レ,レ,レ,11:06, ,12:14,13:05, ,14:17,15:02,16:02,16:55,18:08, ,19:01, ,20:02,21:03,21:55, , , 
下立口,6:32, ,7:33,7:46,8:26,9:17, , , ,10:15, ,レ,レ,レ,11:08, ,12:16,13:07, ,14:19,15:04,16:04,16:57,18:10, ,19:03, ,20:04,21:05,21:57, , , 
下立,6:33, ,7:34,7:47,8:27,9:18, , , ,10:16, ,レ,レ,レ,11:09, ,12:17,13:08, ,14:20,15:05,16:05,16:58,18:11, ,19:04, ,20:05,21:06,21:58, , , 
愛本,6:36, ,7:37,7:50,8:30,9:21, , , ,10:19, ,レ,レ,レ,11:12, ,12:20,13:11, ,14:23,15:08,16:08,17:01,18:14, ,19:07, ,20:08,21:09,22:01, , , 
内山,6:43, ,7:39,7:52,8:32,9:24, , , ,10:27, ,レ,レ,レ,11:14, ,12:24,13:13, ,14:25,15:10,16:10,17:03,18:17, ,19:09, ,20:10,21:12,22:03, , , 
音沢,6:44, ,7:40,7:53,8:33,9:25, , , ,10:28, ,レ,レ,レ,11:15, ,12:25,13:14, ,14:26,15:11,16:11,17:04,18:18, ,19:10, ,20:11,21:13,22:04, , , 
宇奈月温泉,6:52, ,7:48,8:01,8:41,9:33, , , ,10:36, ,12:10,14:14,17:24,11:23, ,12:33,13:22, ,14:34,15:19,16:20,17:13,18:27, ,19:19, ,20:20,21:21,22:13,,,
