,KU24,1002,4,6,8,110,12,B114,1014,1016,16,118,1018,120,222,1022,1024,126,1026,228,1028,1030,132,1032,234,1034,1036,138,1038,1040,142,1042,144,146,148,150,152,1052,1054,156,158
電鉄魚津,NaN,NaN,5:36,6:07,NaN,6:44,NaN,7:20,NaN,NaN,7:42,7:59,NaN,8:53,(止),NaN,NaN,10:28,NaN,(止),NaN,NaN,12:29,NaN,(止),NaN,NaN,14:30,NaN,NaN,15:52,NaN,16:24,17:02,17:38,18:16,19:08,NaN,NaN,20:24,21:18
西魚津,NaN,NaN,5:38,6:09,NaN,6:47,NaN,7:22,NaN,NaN,7:45,8:01,NaN,8:55,NaN,NaN,NaN,10:32,NaN,NaN,NaN,NaN,12:31,NaN,NaN,NaN,NaN,14:32,NaN,NaN,15:55,NaN,16:31,17:04,17:40,18:18,19:10,NaN,NaN,20:26,21:20
越中中村,NaN,NaN,5:40,6:11,NaN,6:49,NaN,レ,NaN,NaN,7:47,8:03,NaN,8:57,NaN,NaN,NaN,10:34,NaN,NaN,NaN,NaN,12:33,NaN,NaN,NaN,NaN,14:34,NaN,NaN,15:57,NaN,16:33,17:06,17:42,18:20,19:12,NaN,NaN,20:28,21:22
早月加積,NaN,NaN,5:43,6:14,NaN,6:52,NaN,レ,NaN,NaN,7:50,8:06,NaN,9:00,NaN,NaN,NaN,10:37,NaN,NaN,NaN,NaN,12:36,NaN,NaN,NaN,NaN,14:37,NaN,NaN,16:00,NaN,16:36,17:09,17:45,18:23,19:15,NaN,NaN,20:32,21:25
浜加積,NaN,NaN,5:44,6:15,NaN,6:53,NaN,レ,NaN,NaN,7:51,8:07,NaN,9:01,NaN,NaN,NaN,10:38,NaN,NaN,NaN,NaN,12:37,NaN,NaN,NaN,NaN,14:38,NaN,NaN,16:01,NaN,16:37,17:10,17:46,18:24,19:16,NaN,NaN,20:33,21:26
滑川,NaN,NaN,5:46,6:17,NaN,6:55,NaN,7:28,NaN,NaN,7:53,8:09,NaN,9:03,NaN,NaN,NaN,10:40,NaN,NaN,NaN,NaN,12:39,NaN,NaN,NaN,NaN,14:40,NaN,NaN,16:03,NaN,16:39,17:12,17:48,18:26,19:18,NaN,NaN,20:35,21:28
中滑川,NaN,NaN,5:49,6:20,6:44,6:58,7:17,7:31,NaN,NaN,7:56,8:12,NaN,9:07,NaN,NaN,NaN,10:44,NaN,NaN,NaN,NaN,12:42,NaN,NaN,NaN,NaN,14:43,NaN,NaN,16:06,NaN,16:43,17:20,17:52,18:30,19:22,NaN,NaN,20:38,21:31
西滑川,NaN,NaN,5:50,6:21,6:45,6:59,7:18,7:32,NaN,NaN,7:57,8:13,NaN,9:08,NaN,NaN,NaN,10:45,NaN,NaN,NaN,NaN,12:43,NaN,NaN,NaN,NaN,14:44,NaN,NaN,16:07,NaN,16:44,17:21,17:53,18:31,19:23,NaN,NaN,20:39,21:32
西加積,NaN,NaN,5:52,6:23,6:47,7:01,7:20,レ,NaN,NaN,7:59,8:15,NaN,9:10,NaN,NaN,NaN,10:47,NaN,NaN,NaN,NaN,12:45,NaN,NaN,NaN,NaN,14:46,NaN,NaN,16:09,NaN,16:46,17:23,17:55,18:33,19:25,NaN,NaN,20:41,21:34
中加積,NaN,NaN,5:55,6:26,6:50,7:06,7:24,7:36,NaN,NaN,8:03,8:19,NaN,9:13,NaN,NaN,NaN,10:50,NaN,NaN,NaN,NaN,12:48,NaN,NaN,NaN,NaN,14:49,NaN,NaN,16:13,NaN,16:49,17:26,17:58,18:36,19:28,NaN,NaN,20:44,21:37
新宮川,NaN,NaN,5:57,6:28,6:52,7:08,7:26,7:38,NaN,NaN,8:05,8:21,NaN,9:15,NaN,NaN,NaN,10:52,NaN,NaN,NaN,NaN,12:50,NaN,NaN,NaN,NaN,14:51,NaN,NaN,16:15,NaN,16:51,17:28,18:00,18:38,19:30,NaN,NaN,20:46,21:39
上市,NaN,5:32,6:03,6:39,6:59,7:14,7:33,7:50,8:00,NaN,8:17,8:29,8:51,9:22,NaN,9:47,10:22,11:00,11:22,NaN,12:00,12:22,13:00,13:22,NaN,14:00,14:22,14:57,15:30,16:01,16:23,16:41,17:05,17:36,18:07,18:46,19:35,20:10,20:40,20:57,21:45
