,KU24,1002,4,6,8,110,12,B114,1014,1016,16,118,1018,120,222,1022,1024,126,1026,228,1028,1030,132,1032,234,1034,1036,138,1038,1040,142,1042,144,146,148,150,152,1052,1054,156,158
新相ノ木,NaN,5:34,6:05,6:41,7:01,7:16,7:35,レ,8:02,NaN,8:19,8:31,8:53,9:24,NaN,9:49,10:24,11:02,11:24,NaN,12:02,12:24,13:02,13:24,NaN,14:02,14:24,14:59,15:32,16:03,16:25,16:43,17:07,17:38,18:09,18:48,19:37,20:12,20:42,20:59,21:47
相ノ木,NaN,5:35,6:06,6:42,7:02,7:17,7:36,レ,8:03,NaN,8:20,8:32,8:54,9:25,NaN,9:50,10:25,11:03,11:25,NaN,12:03,12:25,13:03,13:25,NaN,14:03,14:25,15:00,15:33,16:04,16:26,16:44,17:08,17:39,18:10,18:49,19:38,20:13,20:43,21:00,21:48
越中泉,NaN,5:36,6:07,6:43,7:03,7:18,7:37,レ,8:04,NaN,8:21,8:33,8:55,9:26,NaN,9:51,10:26,11:04,11:26,NaN,12:04,12:26,13:04,13:26,NaN,14:04,14:26,15:01,15:34,16:05,16:27,16:45,17:09,17:40,18:11,18:50,19:39,20:14,20:44,21:01,21:49
寺田,NaN,5:39,6:10,6:46,7:07,7:21,7:42,7:55,8:07,NaN,8:24,8:38,8:58,9:29,NaN,9:54,10:29,11:09,11:29,NaN,12:09,12:29,13:09,13:29,NaN,14:09,14:29,15:06,15:39,16:09,16:30,16:48,17:14,17:43,18:14,18:53,19:43,20:17,20:47,21:04,21:52
越中舟橋,NaN,5:41,6:12,6:48,7:09,7:23,7:44,7:57,8:09,NaN,8:26,8:40,9:00,9:31,NaN,9:56,10:31,11:11,11:31,NaN,12:11,12:31,13:11,13:31,NaN,14:11,14:31,15:08,15:41,16:11,16:32,16:50,17:16,17:45,18:16,18:56,19:45,20:19,20:49,21:06,21:54
越中三郷,NaN,5:44,6:15,6:51,7:14,7:26,7:50,8:01,8:12,NaN,8:32,8:43,9:03,9:34,NaN,9:59,10:34,11:14,11:34,NaN,12:14,12:34,13:14,13:34,NaN,14:14,14:34,15:11,15:48,16:14,16:38,16:54,17:24,17:54,18:24,18:59,19:54,20:24,20:52,21:09,21:57
越中荏原,NaN,5:47,6:18,6:54,7:17,7:33,7:53,8:05,8:15,8:30,8:35,8:49,9:08,9:37,NaN,10:02,10:39,11:19,11:39,NaN,12:19,12:39,13:19,13:39,NaN,14:19,14:39,15:14,15:51,16:19,16:41,16:57,17:27,17:57,18:27,19:04,19:57,20:27,20:55,21:14,22:00
東新庄,NaN,5:50,6:22,6:57,7:21,7:36,7:56,8:11,8:18,8:32,8:38,8:51,9:10,9:40,NaN,10:05,10:41,11:21,11:41,NaN,12:21,12:41,13:21,13:41,NaN,14:21,14:41,15:17,15:57,16:23,16:48,17:02,17:32,18:02,18:32,19:06,20:02,20:32,20:58,21:16,22:07
新庄田中,NaN,5:51,6:23,6:58,7:22,7:37,7:57,8:12,8:19,8:33,8:39,8:52,9:11,9:41,NaN,10:06,10:42,11:22,11:42,NaN,12:22,12:42,13:22,13:42,NaN,14:22,14:42,15:18,15:58,16:24,16:49,17:03,17:33,18:03,18:33,19:07,20:03,20:33,20:59,21:17,22:08
稲荷町,NaN,5:54,6:27,7:02,7:26,7:41,8:00,8:16,8:22,8:36,8:42,8:55,9:14,9:44,NaN,10:09,10:45,11:25,11:45,NaN,12:25,12:45,13:25,13:45,NaN,14:25,14:45,15:21,16:01,16:27,16:52,17:06,17:36,18:06,18:36,19:10,20:06,20:36,21:02,21:20,22:11
電鉄富山,NaN,5:57,6:30,7:05,7:29,7:45,8:03,8:19,8:25,8:39,8:45,8:58,9:17,9:47,NaN,10:12,10:48,11:28,11:48,NaN,12:28,12:48,13:28,13:48,NaN,14:28,14:48,15:24,16:04,16:30,16:55,17:09,17:39,18:09,18:39,19:14,20:09,20:39,21:05,21:24,22:14
