列車番号,ST1,8301,101,303,103,1305,107,307,109,1309,1009,TY3,11,311,KU21,113,TY5,8313,115,1017,1019,KU23,8315,223,125,8317,1027,KU25,8319,231,KU27,133,323,8325,137,327,141,329,1041,143,331,45,147,337,151,341,153,345,155,1349,1055,57,1351,1057,1059
滑川, , ,5:59, ,6:57, ,7:32, ,8:12, , , ,8:55, , ,9:33, , ,10:14, , , , , ,12:14, , , , , , ,14:14, , ,15:14, ,16:14, , ,17:14, ,17:51,18:23, ,19:14, ,20:14, ,21:14, , ,22:46, , , 
浜加積, , ,6:01, ,6:59, ,7:34, ,8:14, , , ,(止), , ,9:35, , ,10:16, , , , , ,12:16, , , , , , ,14:16, , ,15:16, ,16:16, , ,17:16, ,17:53,18:25, ,19:16, ,20:16, ,21:16, , ,22:48, , , 
早月加積, , ,6:04, ,7:02, ,7:37, ,8:17, , , , , , ,9:39, , ,10:19, , , , , ,12:19, , , , , , ,14:19, , ,15:19, ,16:19, , ,17:19, ,17:56,18:28, ,19:19, ,20:19, ,21:19, , ,22:51, , , 
越中中村, , ,6:05, ,7:03, ,7:38, ,8:18, , , , , , ,9:40, , ,10:20, , , , , ,12:20, , , , , , ,14:20, , ,15:20, ,16:20, , ,17:20, ,17:57,18:29, ,19:20, ,20:20, ,21:20, , ,22:52, , , 
西魚津, , ,6:09, ,7:07, ,7:42, ,8:22, , , , , , ,9:44, , ,10:24, , , , , ,12:24, , , , , , ,14:24, , ,15:24, ,16:24, , ,17:25, ,18:01,18:34, ,19:24, ,20:24, ,21:24, , ,22:56, , , 
電鉄魚津, , ,6:11, ,7:09, ,7:44, ,8:24, , , , , , ,9:46, , ,10:26, , , , , ,12:26, , , , , , ,14:26, , ,15:26, ,16:26, , ,17:27, ,18:03,18:36, ,19:26, ,20:26, ,21:26, , ,22:58, , , 
新魚津, , ,6:14, ,7:13, ,7:55, ,8:27, , , , , ,9:08,9:50, , ,10:30, , ,11:04, ,11:50,12:30, , ,13:08, ,13:50,14:45,14:30, , ,15:30, ,16:30, , ,17:30, ,18:06,18:39, ,19:30, ,20:30, ,21:33, , ,23:01, , , 
経田, , ,6:17, ,7:16, ,7:58, ,8:30, , , , , ,レ,9:53, , ,10:33, , ,レ, ,11:53,12:33, , ,レ, ,13:53,レ,14:33, , ,15:33, ,16:33, , ,17:33, ,18:09,18:42, ,19:33, ,20:33, ,21:36, , ,23:04, , , 
電鉄石田, , ,6:20, ,7:19, ,8:01, ,8:33, , , , , ,レ,9:56, , ,10:36, , ,レ, ,11:56,12:36, , ,レ, ,13:56,レ,14:36, , ,15:36, ,16:36, , ,17:36, ,18:12,18:45, ,19:36, ,20:36, ,21:39, , ,23:07, , , 
電鉄黒部, , ,6:26, ,7:25, ,8:05, ,8:38, , , , , ,9:18,10:00, , ,10:50, , ,11:13, ,12:00,12:40, , ,13:17, ,14:00,14:54,15:00, , ,15:47, ,16:52, , ,17:47, ,(止),18:49, ,19:47, ,20:42, ,21:45, , ,(止), , , 
東三日市, , ,6:27, ,7:26, ,8:06, ,8:39, , , , , ,レ,10:01, , ,10:51, , ,レ, ,12:01,12:41, , ,レ, ,14:01,レ,15:01, , ,15:48, ,16:53, , ,17:48, , ,18:50, ,19:48, ,20:43, ,21:46, , , , , , 
荻生, , ,6:28, ,7:27, ,8:07, ,8:40, , , , , ,レ,10:02, , ,10:52, , ,レ, ,12:02,12:42, , ,レ, ,14:02,レ,15:02, , ,15:49, ,16:54, , ,17:49, , ,18:51, ,19:49, ,20:44, ,21:47, , , , , , 
長屋, , ,6:30, ,7:29, ,8:09, ,8:42, , , , , ,レ,10:04, , ,10:54, , ,レ, ,12:04,12:44, , ,レ, ,14:04,レ,15:04, , ,15:51, ,16:56, , ,17:51, , ,18:53, ,19:51, ,20:46, ,21:49, , , , , , 
新黒部, , ,6:32, ,7:31, ,8:11, ,8:44, , , , , ,9:23,10:06, , ,10:56, , ,11:18, ,12:06,12:46, , ,13:22, ,14:06,14:59,15:06, , ,15:53, ,16:58, , ,17:53, , ,18:55, ,19:53, ,20:48, ,21:51, , , , , , 
舌山, , ,6:34, ,7:35, ,8:13, ,8:46, , , , , ,レ,10:09, , ,10:58, , ,レ, ,12:08,12:50, , ,レ, ,14:08,レ,15:10, , ,15:55, ,17:01, , ,17:55, , ,18:57, ,19:55, ,20:50, ,21:53, , , , , , 
若栗, , ,6:35, ,7:36, ,8:14, ,8:47, , , , , ,レ,10:10, , ,10:59, , ,レ, ,12:09,12:51, , ,レ, ,14:09,レ,15:11, , ,15:56, ,17:02, , ,17:56, , ,18:58, ,19:56, ,20:51, ,21:54, , , , , , 
栃屋, , ,6:37, ,7:38, ,8:16, ,8:49, , , , , ,レ,10:12, , ,11:01, , ,レ, ,12:11,12:53, , ,レ, ,14:11,レ,15:13, , ,15:58, ,17:04, , ,17:58, , ,19:00, ,19:58, ,20:53, ,21:56, , , , , , 
浦山, , ,6:41, ,7:42, ,8:22, ,8:52, , , , , ,レ,10:16, , ,11:11, , ,レ, ,12:15,13:01, , ,レ, ,14:19,レ,15:17, , ,16:02, ,17:08, , ,18:02, , ,19:04, ,20:02, ,21:01, ,22:00, , , , , , 
下立口, , ,6:43, ,7:44, ,8:24, ,8:54, , , , , ,レ,10:18, , ,11:13, , ,レ, ,12:17,13:03, , ,レ, ,14:21,レ,15:19, , ,16:04, ,17:10, , ,18:04, , ,19:06, ,20:04, ,21:03, ,22:02, , , , , , 
下立, , ,6:44, ,7:45, ,8:25, ,8:55, , , , , ,レ,10:19, , ,11:14, , ,レ, ,12:18,13:04, , ,レ, ,14:22,レ,15:20, , ,16:05, ,17:11, , ,18:05, , ,19:07, ,20:05, ,21:04, ,22:03, , , , , , 
愛本, , ,6:47, ,7:48, ,8:28, ,8:58, , , , , ,レ,10:22, , ,11:17, , ,レ, ,12:21,13:07, , ,レ, ,14:25,レ,15:23, , ,16:08, ,17:14, , ,18:08, , ,19:10, ,20:08, ,21:07, ,22:06, , , , , , 
内山, , ,6:49, ,7:50, ,8:30, ,9:00, , , , , ,レ,10:27, , ,11:19, , ,レ, ,12:23,13:09, , ,レ, ,14:27,レ,15:25, , ,16:12, ,17:16, , ,18:10, , ,19:12, ,20:10, ,21:09, ,22:08, , , , , , 
音沢, , ,6:50, ,7:51, ,8:31, ,9:01, , , , , ,レ,10:28, , ,11:20, , ,レ, ,12:24,13:10, , ,レ, ,14:28,レ,15:26, , ,16:13, ,17:17, , ,18:11, , ,19:13, ,20:11, ,21:10, ,22:09, , , , , , 
宇奈月温泉, , ,6:58, ,7:59, ,8:39, ,9:09, , , , , ,9:41,10:36, , ,11:28, , ,11:36, ,12:32,13:18, , ,13:40, ,14:36,15:17,15:34, , ,16:21, ,17:25, , ,18:19, , ,19:21, ,20:19, ,21:18, ,22:17,,,,,,
